No;type;QP;size
818;P;5.00;31934;
819;P;5.00;32721;
820;P;5.00;31428;
821;P;5.00;31298;
822;P;5.00;31620;
823;P;5.00;31273;
824;P;5.00;32297;
825;P;5.00;32035;
826;P;5.00;32264;
827;P;5.00;31552;
828;P;5.00;31946;
829;P;5.00;30913;
830;P;5.00;31042;
831;P;5.00;31352;
832;P;5.00;31053;
833;P;5.00;30946;
834;P;5.00;30761;
835;P;5.00;31414;
836;P;5.00;30801;
837;P;5.00;30547;
838;P;5.00;31304;
839;P;5.00;31017;
840;P;5.00;30593;
841;P;5.00;31416;
842;P;5.00;30527;
843;P;5.00;31863;
844;P;5.00;32519;
845;P;5.00;31336;
846;P;5.00;31753;
847;P;5.00;32306;
848;P;5.00;31924;
849;P;5.00;32127;
850;P;5.00;31517;
851;P;5.00;32221;
852;P;5.00;32019;
853;P;5.00;31564;
854;P;5.00;32308;
855;P;5.00;31992;
856;P;5.00;32501;
857;P;5.00;32628;
858;P;5.00;32060;
859;P;5.00;32836;
860;P;5.00;32758;
861;P;5.00;32017;
862;P;5.00;32435;
863;P;5.00;33054;
864;P;5.00;33166;
865;P;5.00;32258;
866;P;5.00;32151;
867;P;5.00;31250;
868;P;5.00;31184;
869;P;5.00;32740;
870;P;5.00;32481;
871;P;5.00;32785;
872;P;5.00;32266;
873;P;5.00;32419;
874;P;5.00;32347;
875;P;5.00;32315;
876;P;5.00;31643;
877;P;5.00;31369;
878;P;5.00;31448;
879;P;5.00;31517;
880;P;5.00;31500;
881;P;5.00;32971;
882;P;5.00;32463;
883;P;5.00;31150;
884;P;5.00;31632;
885;P;5.00;31299;
886;P;5.00;30985;
887;P;5.00;31248;
888;P;5.00;30843;
889;P;5.00;30839;
890;P;5.00;31249;
891;P;5.00;31910;
892;P;5.00;30655;
893;P;5.00;31008;
894;P;5.00;31605;
895;P;5.00;31203;
896;P;5.00;31509;
897;P;5.00;31076;
898;P;5.00;32082;
899;P;5.00;30872;
900;P;5.00;32036;
901;P;5.00;32769;
902;P;5.00;31638;
903;P;5.00;31007;
904;P;5.00;31563;
905;P;5.00;31420;
906;P;5.00;31558;
907;P;5.00;31317;
908;P;5.00;31193;
909;P;5.00;31032;
910;P;5.00;30768;
911;P;5.00;30453;
912;P;5.00;31143;
913;P;5.00;31197;
914;P;5.00;30960;
915;P;5.00;31409;
916;P;5.00;31266;
917;P;5.00;31054;
918;P;5.00;30912;
919;P;5.00;30278;
920;P;5.00;30867;
921;P;5.00;30699;
922;P;5.00;30392;
923;P;5.00;30372;
924;P;5.00;30931;
925;P;5.00;31076;
926;P;5.00;31254;
927;P;5.00;30706;
928;P;5.00;31172;
929;P;5.00;30800;
930;P;5.00;30375;
931;P;5.00;30573;
932;P;5.00;30955;
933;P;5.00;31029;
934;P;5.00;32450;
935;P;5.00;30905;
936;P;5.00;32417;
937;P;5.00;32304;
938;P;5.00;31768;
939;P;5.00;32473;
940;P;5.00;33131;
941;P;5.00;32703;
942;P;5.00;32882;
943;P;5.00;32719;
944;P;5.00;32994;
945;P;5.00;32413;
946;P;5.00;33288;
947;P;5.00;33322;
948;P;5.00;32954;
949;P;5.00;33267;
950;P;5.00;34248;
951;P;5.00;33601;
952;P;5.00;33713;
953;P;5.00;33332;
954;P;5.00;33061;
955;P;5.00;33295;
956;P;5.00;33600;
